"Advanced Numbers",,,,,,,,,,,
"deux cents","two hundred","more-adv-numbers-2.mp3","twohundred.jpg","hundreds",,,"NO",,"deu sant","deut samp","deus scent"
"deux cent un","two hundred and one","more-adv-numbers-3.mp3","twohundredandone.jpg","hundreds",,,"NO",,"dex cente uno","dex san unn","deuex cean unm"
"trois cents","three hundred","more-adv-numbers-4.mp3","threehundred.jpg","hundreds",,,"NO",,"troies san","tros scents","troas sants"
"quatre cents","four hundred","more-adv-numbers-5.mp3","fourhundred.jpg","hundreds",,,"NO",,"quate sant","quatere samp","quaetre ceant"
"cinq cents","five hundred","more-adv-numbers-6.mp3","fivehundred.jpg","hundreds",,,"NO",,"cinqe ceant","cianq cente","cineq san"
"six cents","six hundred","more-adv-numbers-7.mp3","sixhundred.jpg","hundreds",,,"NO",,"siex san","siax sant","silx cean"
"sept cents","seven hundred","more-adv-numbers-8.mp3","sevenhundred.jpg","hundreds",,,"NO",,"swept cean","seipt san","seapt scent"
"huit cents","eight hundred","more-adv-numbers-9.mp3","eighthundred.jpg","hundreds",,,"NO",,"huiet sant","huait ceant","huiit san"
"neuf cents","nine hundred","more-adv-numbers-10.mp3","ninehundred.jpg","hundreds",,,"NO",,"neuwf san","newuf scent","neeuf cente"
"mille","one thousand","more-adv-numbers-11.mp3","onethousand.jpg","thousands",,,"NO",,"mile","mielle","milhe"
"mille neuf cent","one thousand nine hundred","more-adv-numbers-12.mp3","onethousandninehundred.jpg","thousands",,,"NO",,"mile neuwf san","milhe neuff scent","milele neeuf sant"
"deux mille","two thousand","more-adv-numbers-13.mp3","twothousand.jpg","thousands",,,"NO",,"dex mile","deu mihle","deus mielle"
"deux mille un","two thousand and one","more-adv-numbers-14.mp3","twothousandandone.jpg","thousands",,,"NO",,"deu mile unm","dex mihle uhn","deus milele hun"
"un million","one million","more-adv-numbers-15.mp3","onemillion.jpg","millions, billions, and trillions",,,"NO",,"unn mililion","un milion","un millillon"
"deux millions","two million","more-adv-numbers-16.mp3","twomillion.jpg","millions, billions, and trillions",,,"NO",,"dex millillons","deu milions","deus mihlions"
"un milliard","one billion","more-adv-numbers-17.mp3","onebillion.jpg","millions, billions, and trillions",,,"NO",,"unm millillard","uhn milliare","unn milliart"
"neuf mille neuf cents","nine thousand nine hundred","more-adv-numbers-18.mp3","ninethousandninehundred.jpg","thousands",,,"NO",,"neuwf mihle neuwf sants","neuff mils neuff scent","neeuf mile neeuf sants"
"dix mille","ten thousand","more-adv-numbers-19.mp3","tenthousand.jpg","thousands",,,"NO",,"dex mile","disse mihle","diix mielle"
"un billion","one trillion","more-adv-numbers-20.mp3","onetrillion.jpg","millions, billions, and trillions",,,"NO",,"unn billillon","unh bilion","uno billiont"
